English,한국어,기준
Order,명령,기존 통일 용어집
Action,행동,기존 통일 용어집
Fate Deck,운명 카드 덱,기존 통일 용어집
Order Capability,명령 한도,기존 통일 용어집
Hand Size,손패 한도,기존 통일 용어집
Posture,태세,기존 통일 용어집
Attacker,공격자,기존 통일 용어집
Defender,방어자,기존 통일 용어집
Recon,정찰,기존 통일 용어집
Move,이동,기존 통일 용어집
Advance,전진,기존 통일 용어집
Fire,사격,기존 통일 용어집
Opportunity Fire,기회 사격,기존 통일 용어집
Hidden Mines,숨겨진 지뢰,기존 통일 용어집
Hidden Wire,숨겨진 철조망,기존 통일 용어집
Initiative,주도권,기존 통일 용어집
Sudden Death,돌연 종료,기존 통일 용어집
Victory Point,승점,기존 통일 용어집
Trigger,트리거,기존 통일 용어집
Order Limit,명령 한도,기존 문맥 또는 봇 전용 용어
Open objectives,공개 목표,기존 문맥 또는 봇 전용 용어
Order Check,명령 판정,기존 문맥 또는 봇 전용 용어
Order Check Track / Order Checks track,명령 판정 트랙,기존 문맥 또는 봇 전용 용어
Action Check,행동 판정,기존 문맥 또는 봇 전용 용어
Action Check Track,행동 판정 트랙,기존 문맥 또는 봇 전용 용어
Action Track,행동 트랙,기존 문맥 또는 봇 전용 용어
Action Deck,행동 덱,기존 문맥 또는 봇 전용 용어
Action Table,행동 표,기존 문맥 또는 봇 전용 용어
Setup Table,준비 표,기존 문맥 또는 봇 전용 용어
Order track,명령 트랙,기존 문맥 또는 봇 전용 용어
Target number,목표값,기존 문맥 또는 봇 전용 용어
Bad intel,잘못된 정보,기존 문맥 또는 봇 전용 용어
