English,한국어
A.D.,포병 차단
A.R.,포병 요청
Action,행동
Actions,행동
Advance,전진
Air Support,항공 지원
Airborne,공수병
Ambush,매복
American,미국
Artillery Denied,포병 지원 차단
Artillery Request,포병 지원 요청
Assault,돌격병
Assault Fire,돌격 사격
Attack,공격
Attacker,공격자
Battle Harden,전투 단련
Battlefield Integrity,부대 결속
Bersaglieri,베르살리에리
Blackshirt,검은셔츠단
Blaze,화재
Booby Trap,부비트랩
Bore Sighting,사전 조준
break,와해시키다
breaks,와해된다
Breeze,산들바람
Bridge,교량
British,영국
broken,와해된
Broken (unit),와해 (유닛)
Broken (Weapon/Radio),고장 (무기/무전기)
broken side,와해 면
Brush,덤불
Building,건물
Bunker,벙커
Captain,대위
Card #,카드 번호
Cemetery,묘지
Chasseur,샤쇠르
Combat Commander,Combat Commander
Command,지휘력
Command & Control,지휘 및 통제
Command Confusion,지휘 혼선
Commissar,정치장교
Concealment,은폐
Conscript,징집병
Corporal X,상병 X
Corporal Y,상병 Y
Cover,엄폐
Cower,위축
Crossfire,십자포화
Defend,방어
Defender,방어자
Demolitions,폭파
Deploy,분할
Die Roll,주사위
Dig In,진지 구축
Discard,버리기
Discard pile,버린 카드 더미
Draw pile,뽑기 더미
Dust,먼지
Elan,전의
Elevation,고도
Eliminate,제거하다
Eliminated,제거된
Elite,정예
Elite Rifle,정예 소총병
Enemy,적군
Engineer,공병
Entrench,참호 구축
Event,이벤트
Events,이벤트
Exit,이탈
Fate card,운명 카드
Fate cards,운명 카드
Fate Deck,운명 카드 덱
Fence,울타리
Field,경작지
Field Promotion,전장 진급
Fire,사격
Fire Attack,사격 공격
Fire Defense,사격 방어
Fire Group,사격 그룹
Firepower,화력
Fix,수리
Flamethrower,화염방사기
Fog of War,전장의 안개
Fortification,방어시설
Fortification OB,방어시설 전투 서열
Fortifications,방어시설
Foxholes,개인호
French,프랑스
Friendly,아군
front side  ( |#| = boxed stat ),앞면 ( |#| = 테두리가 있는 능력치 )
Fucilieri,푸칠리에리
Game Time,게임 시간
German,독일
Green,미숙련
Guards,근위병
Guards Rifle,근위 소총병
Guards SMG,근위 기관단총병
Guastatori,구아스타토리
Gully,골짜기
Hand Grenades,수류탄
Hand Size,손패 한도
Heavy MG,중기관총
Hedge,생울타리
Hero,영웅
Hex,헥스
Hexes,헥스
Hidden Entrenchments,숨겨진 참호
Hidden Mines,숨겨진 지뢰
Hidden Pillbox,숨겨진 토치카
Hidden Unit,숨겨진 유닛
Hidden Wire,숨겨진 철조망
Hill,고지
Hindrance,방해
Infantry Gun,보병포
Infiltration,침투
Initiative,주도권
Intensive Fire,집중 사격
Interdiction,차단
Interrogation,심문
Italian,이탈리아
Jammed,작동 불량
KIA,전사
Leader,지휘관
Leaders,지휘관
Legionnaire,외인부대
Lieutenant X,중위 X
Lieutenant Y,중위 Y
Light MG,경기관총
Light Mortar,경박격포
Light Woods,성긴 숲
Light Wounds,경상
Line,일선
Line of Sight,시선
Malfunction,고장
Marksmanship,정밀 사격
Marsh,습지
Medic,의무병
Medium MG,중형 기관총
Medium Mortar,중박격포
Melee,백병전
Militia,민병
Mines,지뢰
Mission Objective,임무 목표
Molotov Cocktail,화염병
Morale,사기
Mortar,박격포
Mountain Gun,산포
Move,이동
Movement,이동력
Movement Point,이동 포인트
Name,명칭
Name  [representative example],명칭 [대표 예시]
No Quarter,무자비
Objective,목표
Objective chit,목표 칩
Objective chits,목표 칩
Objectives,목표
Obstacle,차단 지형
Op Fire,기회 사격
Open Ground,개활지
Opportunity Fire,기회 사격
Orchard,과수원
Order,명령
Order Capability,명령 한도
Order of Battle,전투 서열
Orders,명령
Ordnance,포 계열 무기
Pack Howitzer,분해식 곡사포
Parachute,낙하산병
Paratroop,공수병
Pass,패스
Pillbox,토치카
Pionier,공병
Posture,태세
Prisoners of War,전쟁 포로
Private,이병
quantity,수량
Radio,무전기
Radios,무전기
Railroad,철도
Rallied,재정비된
Rally,재정비
Random Hex,무작위 헥스
Range,사거리
Rdm Hex,무작위 헥스
Recon,정찰
Reconnaissance,정찰
Recover,회복
Reinforcements,증원
Reservist,예비군
Retreat,후퇴
reverse,뒷면
Rifle,소총병
Road,도로
Rout,패주
Rubble,잔해
Russian,소련
Sappers,공병
Satchel Charge,폭약 가방
Scrounge,물자 수색
Sergeant X,병장 X
Sergeant Y,병장 Y
Shell Shock,전투 충격
Shellholes,포탄 구덩이
Sissi,시시
SMG,기관단총병
Smoke,연막
Smoke Grenades,연막탄
Smoke?,연막?
Sniper,저격수
Spotting Round,관측탄
Spray Fire,분산 사격
Squad,분대
Squads,분대
Stacking,스태킹
Strategic Objective,전략 목표
Stream,개울
Sudden Death,돌연 종료
Support OB,지원 전투 서열
Suppressed,제압된
Suppressing Fire,제압 사격
Suppression,제압
Surrender,항복
Sustained Fire,지속 사격
Targeting Roll,명중 판정
Team,조
Teams,조
Territorial,향토병
Time,시간
Time Marker,시간 마커
total,합계
Trench,참호
Trenches,참호
Trigger,트리거
Troop Quality,병력 등급
Turn,턴
Turns,턴
Type,유형
unbroken,정상 상태의
Unit,유닛
Unit Manifest,유닛 목록
Units,유닛
Veteran,숙련
Victory Point,승점
Volksgrenadier,국민척탄병
Walking Wounded,경상병
Wall,담장
Water Barrier,수역 장벽
Weapon,무기
Weapon / Radio Manifest,무기 / 무전기 목록
Weapons,무기
White Phosphorus,백린탄
Wire,철조망
Woods,숲
