원문 표기,한국어 표기
.50cal MG [Browning M2],.50구경 기관총 [Browning M2]
.50cal MG [DShK 1938],.50구경 기관총 [DShK 1938]
105-114mm,105-114mm
120-140mm,120-140mm
150-155mm,150-155mm
183-203mm,183-203mm
25-Pounder [Ordnance Q.F. 25-pdr Mk 2],25파운드포 [Ordnance Q.F. 25-pdr Mk 2]
50mm Mortar [Belgian/Polish],50mm 박격포 [Belgian/Polish]
60mm Mortar [French Brandt],60mm 박격포 [French Brandt]
75-76mm,75-76mm
81-88mm,81-88mm
A.D.,포병 차단
A.R.,포병 요청
Action,행동
Advance,전진
Air Support,항공 지원
Airborne,공수병
Ambush,매복
American quantity,미국 수량
Artillery Denied,포병 지원 차단
Artillery Request,포병 지원 요청
Assault,돌격병
Assault Fire,돌격 사격
BAR,BAR
Battle Harden,전투 단련
Battlefield Integrity,부대 결속
Bersaglieri,베르살리에리
Blackshirt,검은셔츠단
Blaze,화재
Booby Trap,부비트랩
Bore Sighting,사전 조준
Brandt Mortar [French 60mm],Brandt 박격포 [French 60mm]
Breeze,산들바람
British quantity,영국 수량
Brixia Mortar [45mm Brixia 35],Brixia 박격포 [45mm Brixia 35]
Captain,대위
Card #,카드 번호
Card Manifest — America,카드 목록 — 미국
Card Manifest — Britain (& the Commonwealth),카드 목록 — 영국 및 영연방
Card Manifest — France (& Allied Minors),카드 목록 — 프랑스 및 연합 소국
Card Manifest — Germany,카드 목록 — 독일
Card Manifest — Italy (& Axis Minors),카드 목록 — 이탈리아 및 추축 소국
Card Manifest — Russia,카드 목록 — 소련
Chasseur,샤쇠르
Command & Control,지휘 및 통제
Command Confusion,지휘 혼선
Commissar,정치장교
Com­ mand,지휘력
Concealment,은폐
Conscript,징집병
Corporal X,상병 X
Corporal Y,상병 Y
Cower,위축
Crossfire,십자포화
Demolitions,폭파
Deploy,분할
Die Roll,주사위
Dig In,진지 구축
Dust,먼지
Elan,전의
Elimi­ nate,제거
Elite,정예
Elite Rifle,정예 소총병
Engineer,공병
Entrench,참호 구축
Event,이벤트
FP,FP
Field Promotion,전장 진급
Fire,사격
Fix,수리
Flamethrower,화염방사기
Fog of War,전장의 안개
French quantity,프랑스 수량
French ‘75’ [canon de 75 mle 1897],프랑스 ‘75’ [canon de 75 mle 1897]
Fucilieri,푸칠리에리
German quantity,독일 수량
GrW Mortar [German 50mm GW36],GrW 박격포 [German 50mm GW36]
Green,미숙련
Guards,근위병
Guards Rifle,근위 소총병
